,short_desc,interval,long_desc,category_dict,analysis_group_1
OCC2010,"Occupation, 2010 basis",discrete,"OCC2010 is a harmonized occupation coding scheme based on the Census Bureau's 2010 occupation classification scheme.  Similar variables are offered for the 1950 (OCC1950) and 1990 (OCC1990) classification codes. OCC2010 offers researchers a consistent, long-term classification of occupations.    

The occupational coding scheme in CPS data has changed several times since the 1960s.  The CPS's occupational coding scheme has mirrored that of the Census Bureau, though the CPS has always introduced major coding changes one-to-three years later than the Census Bureau. All original occupational information is stored in the OCC variable.  The meaning of codes in the OCC variable changes with each new coding scheme.  

In the interest of harmonization, however, the scheme has been modified to achieve the most consistent categories across time.  That is, some categories that provide more detail in the 2010 scheme were grouped together because earlier categories are inseparable when more than one occupation is coded together.  For users who wish to further aggregate occupation to broader categories, the 2010 scheme is generally organized by the following groups:

Management in Business, Science, and Arts = 10-430
Business Operations Specialists = 500-730
Financial Specialists = 800-950
Computer and Mathematical = 1000-1240
Architecture and Engineering = 1300-1540
Technicians = 1550-1560
Life, Physical, and Social Science = 1600-1980
Community and Social Services = 2000-2060
Legal = 2100-2150
Education, Training, and Library = 2200-2550
Arts, Design, Entertainment, Sports, and Media = 2600-2920
Healthcare Practitioners and Technicians = 3000-3540
Healthcare Support = 3600-3650
Protective Service = 3700-3950
Food Preparation and Serving = 4000-4150
Building and Grounds Cleaning and Maintenance = 4200-4250
Personal Care and Service = 4300-4650
Sales and Related = 4700-4965
Office and Administrative Support = 5000-5940
Farming, Fisheries, and Forestry = 6005-6130
Construction = 6200-6765
Extraction = 6800-6940
Installation, Maintenance, and Repair = 7000-7630
Production = 7700-8965
Transportation and Material Moving = 9000-9750
Military = 9800-9830
No Occupation = 9920

We followed a process of constructing and testing OCC2010 that is similar to OCC1990's process, which is discussed in more detail in this BLS working paper.  We performed a variety of tests to ensure that the new categories are as robust as possible over the long-term.  Please also see the description tab for OCC1990 for further detail about our process.","{10: 'Chief executives and legislators/public administration', 20: 'General and Operations Managers', 30: 'Managers in Marketing, Advertising, and Public Relations', 100: 'Administrative Services Managers', 110: 'Computer and Information Systems Managers', 120: 'Financial Managers', 130: 'Human Resources Managers', 140: 'Industrial Production Managers', 150: 'Purchasing Managers', 160: 'Transportation, Storage, and Distribution Managers', 205: 'Farmers, Ranchers, and Other Agricultural Managers', 220: 'Constructions Managers', 230: 'Education Administrators', 300: 'Architectural and Engineering Managers', 310: 'Food Service and Lodging Managers', 320: 'Funeral Directors', 330: 'Gaming Managers', 350: 'Medical and Health Services Managers', 360: 'Natural Science Managers', 410: 'Property, Real Estate, and Community Association Managers', 420: 'Social and Community Service Managers', 430: 'Managers, nec (including Postmasters)', 500: 'Agents and Business Managers of Artists, Performers, and Athletes', 510: 'Buyers and Purchasing Agents, Farm Products', 520: 'Wholesale and Retail Buyers, Except Farm Products', 530: 'Purchasing Agents, Except Wholesale, Retail, and Farm Products', 540: 'Claims Adjusters, Appraisers, Examiners, and Investigators', 560: 'Compliance Officers, Except Agriculture', 600: 'Cost Estimators', 620: 'Human Resources, Training, and Labor Relations Specialists', 700: 'Logisticians', 710: 'Management Analysts', 720: 'Meeting and Convention Planners', 730: 'Other Business Operations and Management Specialists', 800: 'Accountants and Auditors', 810: 'Appraisers and Assessors of Real Estate', 820: 'Budget Analysts', 830: 'Credit Analysts', 840: 'Financial Analysts', 850: 'Personal Financial Advisors', 860: 'Insurance Underwriters', 900: 'Financial Examiners', 910: 'Credit Counselors and Loan Officers', 930: 'Tax Examiners and Collectors, and Revenue Agents', 940: 'Tax Preparers', 950: 'Financial Specialists, nec', 1000: 'Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers', 1010: 'Computer Programmers', 1020: 'Software Developers, Applications and Systems Software', 1050: 'Computer Support Specialists', 1060: 'Database Administrators', 1100: 'Network and Computer Systems Administrators', 1200: 'Actuaries', 1220: 'Operations Research Analysts', 1230: 'Statisticians', 1240: 'Mathematical science occupations, nec', 1300: 'Architects, Except Naval', 1310: 'Surveyors, Cartographers, and Photogrammetrists', 1320: 'Aerospace Engineers', 1350: 'Chemical Engineers', 1360: 'Civil Engineers', 1400: 'Computer Hardware Engineers', 1410: 'Electrical and Electronics Engineers', 1420: 'Environmental Engineers', 1430: 'Industrial Engineers, including Health and Safety', 1440: 'Marine Engineers and Naval Architects', 1450: 'Materials Engineers', 1460: 'Mechanical Engineers', 1520: 'Petroleum, mining and geological engineers, including mining safety engineers', 1530: 'Engineers, nec', 1540: 'Drafters', 1550: 'Engineering Technicians, Except Drafters', 1560: 'Surveying and Mapping Technicians', 1600: 'Agricultural and Food Scientists', 1610: 'Biological Scientists', 1640: 'Conservation Scientists and Foresters', 1650: 'Medical Scientists, and Life Scientists, All Other', 1700: 'Astronomers and Physicists', 1710: 'Atmospheric and Space Scientists', 1720: 'Chemists and Materials Scientists', 1740: 'Environmental Scientists and Geoscientists', 1760: 'Physical Scientists, nec', 1800: 'Economists and market researchers', 1820: 'Psychologists', 1830: 'Urban and Regional Planners', 1840: 'Social Scientists, nec', 1900: 'Agricultural and Food Science Technicians', 1910: 'Biological Technicians', 1920: 'Chemical Technicians', 1930: 'Geological and Petroleum Technicians, and Nuclear Technicians', 1960: 'Life, Physical, and Social Science Technicians, nec', 1980: 'Professional, Research, or Technical Workers, nec', 2000: 'Counselors', 2010: 'Social Workers', 2020: 'Community and Social Service Specialists, nec', 2040: 'Clergy', 2050: 'Directors, Religious Activities and Education', 2060: 'Religious Workers, nec', 2100: 'Lawyers, and judges, magistrates, and other judicial workers', 2140: 'Paralegals and Legal Assistants', 2150: 'Legal Support Workers, nec', 2200: 'Postsecondary Teachers', 2300: 'Preschool and Kindergarten Teachers', 2310: 'Elementary and Middle School Teachers', 2320: 'Secondary School Teachers', 2330: 'Special Education Teachers', 2340: 'Other Teachers and Instructors', 2400: 'Archivists, Curators, and Museum Technicians', 2430: 'Librarians', 2440: 'Library Technicians', 2540: 'Teacher Assistants', 2550: 'Education, Training, and Library Workers, nec', 2600: 'Artists and Related Workers', 2630: 'Designers', 2700: 'Actors, Producers, and Directors', 2720: 'Athletes, Coaches, Umpires, and Related Workers', 2740: 'Dancers and Choreographers', 2750: 'Musicians, Singers, and Related Workers', 2760: 'Entertainers and Performers, Sports and Related Workers, All Other', 2800: 'Announcers', 2810: 'Editors, News Analysts, Reporters, and Correspondents', 2825: 'Public Relations Specialists', 2840: 'Technical Writers', 2850: 'Writers and Authors', 2860: 'Media and Communication Workers, nec', 2900: 'Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other', 2910: 'Photographers', 2920: 'Television, Video, and Motion Picture Camera Operators and Editors', 3000: 'Chiropractors', 3010: 'Dentists', 3030: 'Dieticians and Nutritionists', 3040: 'Optometrists', 3050: 'Pharmacists', 3060: 'Physicians and Surgeons', 3110: 'Physician Assistants', 3120: 'Podiatrists', 3130: 'Registered Nurses', 3140: 'Audiologists', 3150: 'Occupational Therapists', 3160: 'Physical Therapists', 3200: 'Radiation Therapists', 3210: 'Recreational Therapists', 3220: 'Respiratory Therapists', 3230: 'Speech Language Pathologists', 3240: 'Therapists, nec', 3250: 'Veterinarians', 3260: 'Health Diagnosing and Treating Practitioners, nec', 3300: 'Clinical Laboratory Technologists and Technicians', 3310: 'Dental Hygienists', 3320: 'Diagnostic Related Technologists and Technicians', 3400: 'Emergency Medical Technicians and Paramedics', 3410: 'Health Diagnosing and Treating Practitioner Support Technicians', 3500: 'Licensed Practical and Licensed Vocational Nurses', 3510: 'Medical Records and Health Information Technicians', 3520: 'Opticians, Dispensing', 3530: 'Health Technologists and Technicians, nec', 3540: 'Healthcare Practitioners and Technical Occupations, nec', 3600: 'Nursing, Psychiatric, and Home Health Aides', 3610: 'Occupational Therapy Assistants and Aides', 3620: 'Physical Therapist Assistants and Aides', 3630: 'Massage Therapists', 3640: 'Dental Assistants', 3650: 'Medical Assistants and Other Healthcare Support Occupations, nec', 3700: 'First-Line Supervisors of Correctional Officers', 3710: 'First-Line Supervisors of Police and Detectives', 3720: 'First-Line Supervisors of Fire Fighting and Prevention Workers', 3730: 'Supervisors, Protective Service Workers, All Other', 3740: 'Firefighters', 3750: 'Fire Inspectors', 3800: 'Sheriffs, Bailiffs, Correctional Officers, and Jailers', 3820: 'Police Officers and Detectives', 3900: 'Animal Control', 3910: 'Private Detectives and Investigators', 3930: 'Security Guards and Gaming Surveillance Officers', 3940: 'Crossing Guards', 3950: 'Law enforcement workers, nec', 4000: 'Chefs and Cooks', 4010: 'First-Line Supervisors of Food Preparation and Serving Workers', 4030: 'Food Preparation Workers', 4040: 'Bartenders', 4050: 'Combined Food Preparation and Serving Workers, Including Fast Food', 4060: 'Counter Attendant, Cafeteria, Food Concession, and Coffee Shop', 4110: 'Waiters and Waitresses', 4120: 'Food Servers, Nonrestaurant', 4130: 'Food preparation and serving related workers, nec', 4140: 'Dishwashers', 4150: 'Host and Hostesses, Restaurant, Lounge, and Coffee Shop', 4200: 'First-Line Supervisors of Housekeeping and Janitorial Workers', 4210: 'First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers', 4220: 'Janitors and Building Cleaners', 4230: 'Maids and Housekeeping Cleaners', 4240: 'Pest Control Workers', 4250: 'Grounds Maintenance Workers', 4300: 'First-Line Supervisors of Gaming Workers', 4320: 'First-Line Supervisors of Personal Service Workers', 4340: 'Animal Trainers', 4350: 'Nonfarm Animal Caretakers', 4400: 'Gaming Services Workers', 4420: 'Ushers, Lobby Attendants, and Ticket Takers', 4430: 'Entertainment Attendants and Related Workers, nec', 4460: 'Funeral Service Workers and Embalmers', 4500: 'Barbers', 4510: 'Hairdressers, Hairstylists, and Cosmetologists', 4520: 'Personal Appearance Workers, nec', 4530: 'Baggage Porters, Bellhops, and Concierges', 4540: 'Tour and Travel Guides', 4600: 'Childcare Workers', 4610: 'Personal Care Aides', 4620: 'Recreation and Fitness Workers', 4640: 'Residential Advisors', 4650: 'Personal Care and Service Workers, All Other', 4700: 'First-Line Supervisors of Sales Workers', 4720: 'Cashiers', 4740: 'Counter and Rental Clerks', 4750: 'Parts Salespersons', 4760: 'Retail Salespersons', 4800: 'Advertising Sales Agents', 4810: 'Insurance Sales Agents', 4820: 'Securities, Commodities, and Financial Services Sales Agents', 4830: 'Travel Agents', 4840: 'Sales Representatives, Services, All Other', 4850: 'Sales Representatives, Wholesale and Manufacturing', 4900: 'Models, Demonstrators, and Product Promoters', 4920: 'Real Estate Brokers and Sales Agents', 4930: 'Sales Engineers', 4940: 'Telemarketers', 4950: 'Door-to-Door Sales Workers, News and Street Vendors, and Related Workers', 4965: 'Sales and Related Workers, All Other', 5000: 'First-Line Supervisors of Office and Administrative Support Workers', 5010: 'Switchboard Operators, Including Answering Service', 5020: 'Telephone Operators', 5030: 'Communications Equipment Operators, All Other', 5100: 'Bill and Account Collectors', 5110: 'Billing and Posting Clerks', 5120: 'Bookkeeping, Accounting, and Auditing Clerks', 5130: 'Gaming Cage Workers', 5140: 'Payroll and Timekeeping Clerks', 5150: 'Procurement Clerks', 5160: 'Bank Tellers', 5165: 'Financial Clerks, nec', 5200: 'Brokerage Clerks', 5220: 'Court, Municipal, and License Clerks', 5230: 'Credit Authorizers, Checkers, and Clerks', 5240: 'Customer Service Representatives', 5250: 'Eligibility Interviewers, Government Programs', 5260: 'File Clerks', 5300: 'Hotel, Motel, and Resort Desk Clerks', 5310: 'Interviewers, Except Eligibility and Loan', 5320: 'Library Assistants, Clerical', 5330: 'Loan Interviewers and Clerks', 5340: 'New Account Clerks', 5350: 'Correspondent clerks and order clerks', 5360: 'Human Resources Assistants, Except Payroll and Timekeeping', 5400: 'Receptionists and Information Clerks', 5410: 'Reservation and Transportation Ticket Agents and Travel Clerks', 5420: 'Information and Record Clerks, All Other', 5500: 'Cargo and Freight Agents', 5510: 'Couriers and Messengers', 5520: 'Dispatchers', 5530: 'Meter Readers, Utilities', 5540: 'Postal Service Clerks', 5550: 'Postal Service Mail Carriers', 5560: 'Postal Service Mail Sorters, Processors, and Processing Machine Operators', 5600: 'Production, Planning, and Expediting Clerks', 5610: 'Shipping, Receiving, and Traffic Clerks', 5620: 'Stock Clerks and Order Fillers', 5630: 'Weighers, Measurers, Checkers, and Samplers, Recordkeeping', 5700: 'Secretaries and Administrative Assistants', 5800: 'Computer Operators', 5810: 'Data Entry Keyers', 5820: 'Word Processors and Typists', 5840: 'Insurance Claims and Policy Processing Clerks', 5850: 'Mail Clerks and Mail Machine Operators, Except Postal Service', 5860: 'Office Clerks, General', 5900: 'Office Machine Operators, Except Computer', 5910: 'Proofreaders and Copy Markers', 5920: 'Statistical Assistants', 5940: 'Office and administrative support workers, nec', 6005: 'First-Line Supervisors of Farming, Fishing, and Forestry Workers', 6010: 'Agricultural Inspectors', 6040: 'Graders and Sorters, Agricultural Products', 6050: 'Agricultural workers, nec', 6100: 'Fishing and hunting workers', 6120: 'Forest and Conservation Workers', 6130: 'Logging Workers', 6200: 'First-Line Supervisors of Construction Trades and Extraction Workers', 6210: 'Boilermakers', 6220: 'Brickmasons, Blockmasons, and Stonemasons', 6230: 'Carpenters', 6240: 'Carpet, Floor, and Tile Installers and Finishers', 6250: 'Cement Masons, Concrete Finishers, and Terrazzo Workers', 6260: 'Construction Laborers', 6300: 'Paving, Surfacing, and Tamping Equipment Operators', 6320: 'Construction equipment operators except paving, surfacing, and tamping equipment operators', 6330: 'Drywall Installers, Ceiling Tile Installers, and Tapers', 6355: 'Electricians', 6360: 'Glaziers', 6400: 'Insulation Workers', 6420: 'Painters, Construction and Maintenance', 6430: 'Paperhangers', 6440: 'Pipelayers, Plumbers, Pipefitters, and Steamfitters', 6460: 'Plasterers and Stucco Masons', 6500: 'Reinforcing Iron and Rebar Workers', 6515: 'Roofers', 6520: 'Sheet Metal Workers, metal-working', 6530: 'Structural Iron and Steel Workers', 6600: 'Helpers, Construction Trades', 6660: 'Construction and Building Inspectors', 6700: 'Elevator Installers and Repairers', 6710: 'Fence Erectors', 6720: 'Hazardous Materials Removal Workers', 6730: 'Highway Maintenance Workers', 6740: 'Rail-Track Laying and Maintenance Equipment Operators', 6765: 'Construction workers, nec', 6800: 'Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining', 6820: 'Earth Drillers, Except Oil and Gas', 6830: 'Explosives Workers, Ordnance Handling Experts, and Blasters', 6840: 'Mining Machine Operators', 6940: 'Extraction workers, nec', 7000: 'First-Line Supervisors of Mechanics, Installers, and Repairers', 7010: 'Computer, Automated Teller, and Office Machine Repairers', 7020: 'Radio and Telecommunications Equipment Installers and Repairers', 7030: 'Avionics Technicians', 7040: 'Electric Motor, Power Tool, and Related Repairers', 7100: 'Electrical and electronics repairers, transportation equipment, and industrial and utility', 7110: 'Electronic Equipment Installers and Repairers, Motor Vehicles', 7120: 'Electronic Home Entertainment Equipment Installers and Repairers', 7125: 'Electronic Repairs, nec', 7130: 'Security and Fire Alarm Systems Installers', 7140: 'Aircraft Mechanics and Service Technicians', 7150: 'Automotive Body and Related Repairers', 7160: 'Automotive Glass Installers and Repairers', 7200: 'Automotive Service Technicians and Mechanics', 7210: 'Bus and Truck Mechanics and Diesel Engine Specialists', 7220: 'Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics', 7240: 'Small Engine Mechanics', 7260: 'Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec', 7300: 'Control and Valve Installers and Repairers', 7315: 'Heating, Air Conditioning, and Refrigeration Mechanics and Installers', 7320: 'Home Appliance Repairers', 7330: 'Industrial and Refractory Machinery Mechanics', 7340: 'Maintenance and Repair Workers, General', 7350: 'Maintenance Workers, Machinery', 7360: 'Millwrights', 7410: 'Electrical Power-Line Installers and Repairers', 7420: 'Telecommunications Line Installers and Repairers', 7430: 'Precision Instrument and Equipment Repairers', 7510: 'Coin, Vending, and Amusement Machine Servicers and Repairers', 7540: 'Locksmiths and Safe Repairers', 7550: 'Manufactured Building and Mobile Home Installers', 7560: 'Riggers', 7610: 'Helpers--Installation, Maintenance, and Repair Workers', 7630: 'Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers', 7700: 'First-Line Supervisors of Production and Operating Workers', 7710: 'Aircraft Structure, Surfaces, Rigging, and Systems Assemblers', 7720: 'Electrical, Electronics, and Electromechanical Assemblers', 7730: 'Engine and Other Machine Assemblers', 7740: 'Structural Metal Fabricators and Fitters', 7750: 'Assemblers and Fabricators, nec', 7800: 'Bakers', 7810: 'Butchers and Other Meat, Poultry, and Fish Processing Workers', 7830: 'Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders', 7840: 'Food Batchmakers', 7850: 'Food Cooking Machine Operators and Tenders', 7855: 'Food Processing, nec', 7900: 'Computer Control Programmers and Operators', 7920: 'Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic', 7930: 'Forging Machine Setters, Operators, and Tenders, Metal and Plastic', 7940: 'Rolling Machine Setters, Operators, and Tenders, metal and Plastic', 7950: 'Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic', 7960: 'Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 8000: 'Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 8010: 'Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic', 8030: 'Machinists', 8040: 'Metal Furnace Operators, Tenders, Pourers, and Casters', 8060: 'Model Makers and Patternmakers, Metal and Plastic', 8100: 'Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic', 8130: 'Tool and Die Makers', 8140: 'Welding, Soldering, and Brazing Workers', 8150: 'Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic', 8200: 'Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic', 8210: 'Tool Grinders, Filers, and Sharpeners', 8220: 'Metal workers and plastic workers, nec', 8230: 'Bookbinders, Printing Machine Operators, and Job Printers', 8250: 'Prepress Technicians and Workers', 8300: 'Laundry and Dry-Cleaning Workers', 8310: 'Pressers, Textile, Garment, and Related Materials', 8320: 'Sewing Machine Operators', 8330: 'Shoe and Leather Workers and Repairers', 8340: 'Shoe Machine Operators and Tenders', 8350: 'Tailors, Dressmakers, and Sewers', 8400: 'Textile bleaching and dyeing, and cutting machine setters, operators, and tenders', 8410: 'Textile Knitting and Weaving Machine Setters, Operators, and Tenders', 8420: 'Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders', 8450: 'Upholsterers', 8460: 'Textile, Apparel, and Furnishings workers, nec', 8500: 'Cabinetmakers and Bench Carpenters', 8510: 'Furniture Finishers', 8530: 'Sawing Machine Setters, Operators, and Tenders, Wood', 8540: 'Woodworking Machine Setters, Operators, and Tenders, Except Sawing', 8550: 'Woodworkers including model makers and patternmakers, nec', 8600: 'Power Plant Operators, Distributors, and Dispatchers', 8610: 'Stationary Engineers and Boiler Operators', 8620: 'Water Wastewater Treatment Plant and System Operators', 8630: 'Plant and System Operators, nec', 8640: 'Chemical Processing Machine Setters, Operators, and Tenders', 8650: 'Crushing, Grinding, Polishing, Mixing, and Blending Workers', 8710: 'Cutting Workers', 8720: 'Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders', 8730: 'Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders', 8740: 'Inspectors, Testers, Sorters, Samplers, and Weighers', 8750: 'Jewelers and Precious Stone and Metal Workers', 8760: 'Medical, Dental, and Ophthalmic Laboratory Technicians', 8800: 'Packaging and Filling Machine Operators and Tenders', 8810: 'Painting Workers and Dyers', 8830: 'Photographic Process Workers and Processing Machine Operators', 8850: 'Adhesive Bonding Machine Operators and Tenders', 8860: 'Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders', 8910: 'Etchers, Engravers, and Lithographers', 8920: 'Molders, Shapers, and Casters, Except Metal and Plastic', 8930: 'Paper Goods Machine Setters, Operators, and Tenders', 8940: 'Tire Builders', 8950: 'Helpers--Production Workers', 8965: 'Other production workers including semiconductor processors and cooling and freezing equipment operators', 9000: 'Supervisors of Transportation and Material Moving Workers', 9030: 'Aircraft Pilots and Flight Engineers', 9040: 'Air Traffic Controllers and Airfield Operations Specialists', 9050: 'Flight Attendants and Transportation Workers and Attendants', 9100: 'Bus and Ambulance Drivers and Attendants', 9130: 'Driver/Sales Workers and Truck Drivers', 9140: 'Taxi Drivers and Chauffeurs', 9150: 'Motor Vehicle Operators, All Other', 9200: 'Locomotive Engineers and Operators', 9230: 'Railroad Brake, Signal, and Switch Operators', 9240: 'Railroad Conductors and Yardmasters', 9260: 'Subway, Streetcar, and Other Rail Transportation Workers', 9300: 'Sailors and marine oilers, and ship engineers', 9310: 'Ship and Boat Captains and Operators', 9350: 'Parking Lot Attendants', 9360: 'Automotive and Watercraft Service Attendants', 9410: 'Transportation Inspectors', 9420: 'Transportation workers, nec', 9510: 'Crane and Tower Operators', 9520: 'Dredge, Excavating, and Loading Machine Operators', 9560: 'Conveyor operators and tenders, and hoist and winch operators', 9600: 'Industrial Truck and Tractor Operators', 9610: 'Cleaners of Vehicles and Equipment', 9620: 'Laborers and Freight, Stock, and Material Movers, Hand', 9630: 'Machine Feeders and Offbearers', 9640: 'Packers and Packagers, Hand', 9650: 'Pumping Station Operators', 9720: 'Refuse and Recyclable Material Collectors', 9750: 'Material moving workers, nec', 9800: 'Military Officer Special and Tactical Operations Leaders', 9810: 'First-Line Enlisted Military Supervisors', 9820: 'Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members', 9830: 'Military, Rank Not Specified', 9999: 'NIU'}",1
IND,Industry,contin,"IND reports the type of industry in which the person performed his or her primary occupation, which is recorded in the variables OCC (Occupation) and, after 1968, OCC1950 (Occupation, 1950 basis).  ""Industry"" refers to the work setting and economic sector, while ""occupation"" relates to the worker's specific technical function.
  
For persons who were employed at the time of the survey, IND relates to the industrial sector in which the respondent worked during the preceding week.  For unemployed persons and those not currently in the labor force, IND characterizes the industrial sector of the respondent's most recent job.   The CPS interviewer collected information by asking what kind of work the person was doing, and Census Bureau staff coded the information into the CPS or census industrial classification.  Researchers who wish to work with a consistent industrial coding scheme for 1968 forward should use the IND1950 variable.  For general discussion of employment concepts, including the definition of those not in the labor force, see the documentation on EMPSTAT.",{},0
CLASSWKR,Class of worker ,discrete,"CLASSWKR indicates whether a respondent was self-employed, was an employee in private industry or the public sector, was in the armed forces, or worked without pay in a family business or farm.  Workers with multiple sources of employment were classified according to the job in which they worked the most hours.  For persons employed at the time of the survey, CLASSWKR relates to the respondent's job during the previous week.  Respondents who were not employed during the previous week reported the most recent job.  The CLASSWLY variable deals with the longest job held during the previous calendar year. 

In the original CPS public use data, members of the armed forces are coded as N.I.U. (Not in Universe), because they are not part of the civilian labor force.","{0: 'NIU', 10: 'Self-employed', 13: 'Self-employed, not incorporated', 14: 'Self-employed, incorporated', 20: 'Works for wages or salary', 21: 'Wage/salary, private', 22: 'Private, for profit', 23: 'Private, nonprofit', 24: 'Wage/salary, government', 25: 'Federal government employee', 26: 'Armed forces', 27: 'State government employee', 28: 'Local government employee', 29: 'Unpaid family worker', 99: 'Missing/Unknown'}",1
UHRSWORKT,Hours usually worked per week at all jobs,discrete,"UHRSWORKT is the usual number of hours per week the respondent reports being at all jobs, over an unspecified time period.

See the Hours Worked Variables Notes for an overview of the different actual and usual hours worked variables available.","{997: 'Hours vary', 999: 'NIU'}",1
UHRSWORK1,Hours usually worked per week at main job,discrete,"UHRSWORK1 is the usual number of hours per week the respondent reports being at their main job. There is no time period specified, unlike for UHRSWORKLY, which specifies the reference time period as last year. 

See the Hours Worked Variables Notes for an overview of the different actual and usual hours worked variables available.","{0: '0 hours', 997: 'Hours vary', 999: 'NIU/Missing'}",0
AHRSWORKT,Hours worked last week,contin,"AHRSWORKT reports the total number of hours the respondent was at work during the previous week.  For employers and the self-employed, this includes all hours spent attending to their operation(s) or enterprise(s).  For employees, it is the number of hours they spent at work.  For unpaid family workers, it is the number of hours spent doing work directly related to the family business or farm (not including housework).

See the Hours Worked Variables Notes for an overview of the different actual and usual hours worked variables.",{},0
ABSENT,Absent from work last week,discrete,"ABSENT indicates whether persons who did not work during the previous week had a job or business from which they were temporarily absent and, if so, whether they were absent due to a layoff or for some other reason.","{0: 'NIU', 1: 'No', 2: 'Yes, laid off', 3: 'Yes, other reason (vacation, illness, labor dispute)'}",0
DURUNEM2,"Continuous weeks unemployed, intervalled",discrete,"DURUNEM2 indicates, in intervalled form, how many consecutive weeks each currently unemployed respondent had been without a job and looking for work.  Beginning in 1988, this variable also indicates the number of continuous weeks of layoff for workers who expected to be recalled to their jobs.  For more detailed discussion, see DURUNEMP, which presents the same information in nonintervalled form.  DURUNEM2 has the advantage of providing data for 1963-1967, and the disadvantage of giving information in intervals that are quite broad (e.g., ""35-42 weeks,"" ""over 52 weeks"") for respondents with lengthy periods of unemployment.","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7-10', 8: '11-14', 9: '15-18', 10: '19-22', 11: '23-26', 12: '27-34', 13: '35-42', 14: '43-50', 15: '51-52', 16: 'Over 52 weeks', 99: 'NIU'}",0
DURUNEMP,Continuous weeks unemployed,contin,"DURUNEMP indicates for how many consecutive weeks each currently unemployed respondent had been without a job and looking for work.  If a respondent had not done any work for pay or profit during the preceding week, did not have a job from which he or she was temporarily absent, and had been actively looking for work in the past four weeks, the interviewer asked, ""How many weeks have you been looking for work?"" and ""How many weeks ago did you start looking?"" 
  
Beginning in 1988, DURUNEMP also indicates the number of continuous weeks of layoff for workers who were laid off from a job (due, for example, to slow business conditions) but expected to return to the same job.  If a respondent reported being absent from a job during the preceding week due to temporary (under 30 days) or indefinite (30 days or more) layoff, the interviewer asked, ""How many weeks ago were you laid off?""  

DURUNEM2 provides the same information as DURUNEMP in intervalled form for the entire data series.",{},0
WHYUNEMP,Reason for unemployment,discrete,"WHYUNEMP specifies why respondents were unemployed--either actively seeking work or on temporary layoff from a job--during the previous week.  For discussion of the technical definition of the status ""unemployed,"" see the EMPSTAT variable. 

Responses for WHYUNEMP distinguish between workers who had lost jobs (due to temporary layoff, involuntary job loss, or ending of a temporary job), those who had quit jobs, those who were re-entering the labor force after an extended absence from the work force, and those who were seeking their first jobs (new entrants).","{0: 'NIU', 1: 'Job loser - on layoff', 2: 'Other job loser', 3: 'Temporary job ended', 4: 'Job leaver', 5: 'Re-entrant', 6: 'New entrant'}",1
WHYABSNT,Reason for absence from work,discrete,WHYABSNT reports the reason for the absence of jobholders who were not working during the preceding week.,"{0: 'NIU', 1: 'On temporary layoff (under 30 days)', 2: 'On indefinite layoff (30+ days)', 3: 'Slack work/business conditions', 4: 'Waiting for a new job to begin', 5: 'Vacation/personal days', 6: 'Own illness/injury/medical problems', 7: 'Child care problems', 8: 'Other family/personal obligation', 9: 'Maternity/paternity leave', 10: 'Labor dispute', 11: 'Weather affected job', 12: 'School/training', 13: 'Civic/military duty', 14: 'Does not work in the business', 15: 'Other'}",0
